,lead_id,nome,email,telefone,data_captura,campanha_origem,ad_clicked,canal_origem,etapa_funil,ultima_interacao,status,pontuacao,sale_id,data_venda,produto,valor_total,quantidade,meio_pagamento,status_pagamento,utm_source,utm_campaign,dias_para_conversao
120,lead_2,Valentim Garcia,valentim.garcia@email.com,+55 (084) 0820 4459,2025-04-21,Camisetas Filmes,Video 1,Google,Visita,2025-04-24,Novo,23.0,,,,,0,,,,,
121,lead_20,Dr. Gabriel Rezende,dr..gabriel.rezende@email.com,(011) 7792-7087,2025-04-12,Camisetas Series,Video 2,Instagram,Visita,2025-04-22,Novo,54.0,,,,,0,,,,,
122,lead_200,Srta. Larissa Lopes,srta..larissa.lopes@email.com,+55 81 9605 2413,2025-03-25,Camisetas Filmes,Imagem 1,Instagram,Visita,2025-04-03,Novo,35.0,,,,,0,,,,,
123,lead_201,Ian Cunha,ian.cunha@email.com,+55 (071) 8479-4354,2025-04-05,Camisetas Filmes,Imagem 1,Instagram,Visita,2025-04-15,Novo,15.0,,,,,0,,,,,
124,lead_202,Maria Luísa Teixeira,maria.luisa.teixeira@email.com,+55 (041) 3146-3314,2025-03-25,Camisetas Filmes,Video 3,Instagram,Visita,2025-04-01,Novo,18.0,,,,,0,,,,,
125,lead_203,Maria Helena Cirino,maria.helena.cirino@email.com,(084) 0858-4775,2025-04-06,Blusas Inverno,Carrossel 1,Instagram,Visita,2025-04-10,Novo,13.0,,,,,0,,,,,
126,lead_204,Luiz Otávio Gonçalves,luiz.otavio.goncalves@email.com,(011) 8374-7894,2025-03-17,Camisetas Filmes,Video 3,Google,Visita,2025-03-20,Perdido,30.0,,,,,0,,,,,
127,lead_205,João Aparecida,joao.aparecida@email.com,41 4677-1515,2025-03-02,Camisetas Filmes,Carrossel 2,Google,Visita,2025-03-07,Perdido,30.0,,,,,0,,,,,
128,lead_206,Thales Nunes,thales.nunes@email.com,(084) 2083 9935,2025-03-05,Camisetas Filmes,Video 3,Tráfego Direto,Visita,2025-03-11,Novo,27.0,,,,,0,,,,,
129,lead_207,Pedro Miguel da Mota,pedro.miguel.da.mota@email.com,+55 (081) 9997 2619,2025-03-01,Camisetas Series,Video 2,Tráfego Direto,Checkout,2025-03-02,Em negociação,86.0,,,,,0,,,,,
130,lead_208,Davi Lucas da Luz,davi.lucas.da.luz@email.com,84 0018-1766,2025-03-08,Camisetas Filmes,Carrossel 2,Instagram,Visita,2025-03-16,Novo,11.0,,,,,0,,,,,
131,lead_209,Emanuel Pereira,emanuel.pereira@email.com,(061) 6160-4050,2025-03-30,Camisetas Filmes,Imagem 1,Google,Visita,2025-04-02,Novo,32.0,,,,,0,,,,,
132,lead_21,Anna Liz Jesus,anna.liz.jesus@email.com,+55 41 7300-0022,2025-03-27,Camisetas Filmes,Video 1,Facebook,Visita,2025-04-06,Perdido,48.0,,,,,0,,,,,
133,lead_210,Kaique Marques,kaique.marques@email.com,+55 51 0685 4160,2025-04-28,Camisetas Filmes,Video 1,Google,Visita,2025-05-08,Novo,59.0,,,,,0,,,,,
134,lead_211,Dr. André Fogaça,dr..andre.fogaca@email.com,84 9519-6563,2025-02-28,Camisetas Filmes,Imagem 1,Google,Checkout,2025-02-28,Em negociação,84.0,,,,,0,,,,,
135,lead_212,Hadassa da Cruz,hadassa.da.cruz@email.com,0300 411 1545,2025-03-07,Camisetas Series,Imagem 2,Facebook,Visita,2025-03-07,Novo,22.0,,,,,0,,,,,
136,lead_213,Luan Correia,luan.correia@email.com,+55 (061) 6686 0313,2025-03-28,Blusas Inverno,Carrossel 1,Facebook,Visita,2025-03-30,Novo,25.0,,,,,0,,,,,
137,lead_214,Ana Laura Costa,ana.laura.costa@email.com,0500-799-9931,2025-03-19,Camisetas Filmes,Carrossel 2,Facebook,Visita,2025-03-20,Novo,52.0,,,,,0,,,,,
138,lead_215,Caleb Pastor,caleb.pastor@email.com,+55 (021) 3744-5891,2025-04-28,Camisetas Series,Imagem 2,Instagram,Visita,2025-05-02,Novo,39.0,,,,,0,,,,,
139,lead_216,Sophie Gomes,sophie.gomes@email.com,0500-041-1370,2025-04-16,Camisetas Series,Imagem 3,Tráfego Direto,Carrinho,2025-04-25,Perdido,50.0,,,,,0,,,,,
140,lead_217,Antonella Pinto,antonella.pinto@email.com,+55 (011) 2553 8143,2025-03-09,Camisetas Filmes,Video 1,Google,Carrinho,2025-03-13,Em negociação,50.0,,,,,0,,,,,
141,lead_218,Raul Cunha,raul.cunha@email.com,41 3598 5051,2025-04-14,Camisetas Filmes,Video 1,Facebook,Carrinho,2025-04-14,Perdido,77.0,,,,,0,,,,,
142,lead_219,Dr. João Gabriel Souza,dr..joao.gabriel.souza@email.com,+55 (081) 3739 4697,2025-04-23,Camisetas Series,Video 2,Facebook,Visita,2025-05-03,Novo,46.0,,,,,0,,,,,
143,lead_22,Luara das Neves,luara.das.neves@email.com,+55 (051) 7839-5897,2025-03-24,Blusas Inverno,Carrossel 1,Facebook,Visita,2025-03-27,Novo,44.0,,,,,0,,,,,
144,lead_220,Dra. Valentina Moura,dra..valentina.moura@email.com,+55 (084) 9558 2746,2025-03-31,Camisetas Filmes,Video 3,Facebook,Carrinho,2025-04-03,Em negociação,65.0,,,,,0,,,,,
145,lead_221,Lorenzo Montenegro,lorenzo.montenegro@email.com,(041) 3605 5635,2025-03-03,Camisetas Filmes,Video 1,Facebook,Comprou,2025-03-13,Ganhou,98.0,0c323801-60b6-45a7-a3b7-31e9aad68e9e,2025-04-19,Camiseta,278.46,1,Cartão,Aprovado,source_5,campaign_5,47.0
146,lead_221,Lorenzo Montenegro,lorenzo.montenegro@email.com,(041) 3605 5635,2025-03-03,Camisetas Filmes,Video 1,Facebook,Comprou,2025-03-13,Ganhou,98.0,a13da274-a696-4145-840e-c72e928e1626,2024-12-14,Cinto,468.01,2,Pix,Aprovado,source_5,campaign_4,-79.0
147,lead_222,Caio Dias,caio.dias@email.com,61 8607 7745,2025-03-11,Camisetas Series,Imagem 2,Instagram,Visita,2025-03-15,Novo,16.0,,,,,0,,,,,
148,lead_223,Aurora Oliveira,aurora.oliveira@email.com,+55 71 5607 8715,2025-04-18,Camisetas Filmes,Video 1,Instagram,Visita,2025-04-27,Novo,60.0,,,,,0,,,,,
149,lead_224,Isadora Rios,isadora.rios@email.com,+55 (021) 5340 1112,2025-02-28,Camisetas Filmes,Imagem 1,Instagram,Visita,2025-03-08,Perdido,32.0,,,,,0,,,,,
150,lead_225,Sophie Siqueira,sophie.siqueira@email.com,+55 51 5959 1323,2025-03-03,Camisetas Filmes,Video 3,Instagram,Carrinho,2025-03-04,Em negociação,63.0,,,,,0,,,,,
151,lead_226,Daniel Pinto,daniel.pinto@email.com,0500-531-8482,2025-04-22,Camisetas Series,Imagem 3,Email,Visita,2025-04-28,Novo,10.0,,,,,0,,,,,
152,lead_227,Manuella Cassiano,manuella.cassiano@email.com,+55 71 6233-4010,2025-03-20,Camisetas Filmes,Carrossel 2,Email,Checkout,2025-03-26,Perdido,63.0,,,,,0,,,,,
153,lead_228,Nicole Jesus,nicole.jesus@email.com,(061) 4695 6341,2025-03-06,Camisetas Series,Imagem 3,Instagram,Visita,2025-03-13,Novo,50.0,,,,,0,,,,,
154,lead_229,Fernando Pastor,fernando.pastor@email.com,(031) 6783-7191,2025-03-08,Blusas Inverno,Carrossel 1,Tráfego Direto,Carrinho,2025-03-10,Em negociação,67.0,,,,,0,,,,,
155,lead_23,Sra. Isis Martins,sra..isis.martins@email.com,+55 81 4262-6234,2025-03-22,Blusas Inverno,Carrossel 1,Instagram,Checkout,2025-03-28,Em negociação,74.0,,,,,0,,,,,
156,lead_230,Helena Almeida,helena.almeida@email.com,+55 (084) 1817 4746,2025-03-14,Camisetas Series,Video 2,Instagram,Checkout,2025-03-22,Em negociação,79.0,,,,,0,,,,,
157,lead_231,Luiza Sampaio,luiza.sampaio@email.com,0500 809 9439,2025-04-12,Camisetas Filmes,Carrossel 2,Facebook,Carrinho,2025-04-18,Em negociação,69.0,,,,,0,,,,,
158,lead_232,Maya Rocha,maya.rocha@email.com,21 6043 5168,2025-03-04,Camisetas Series,Video 2,Instagram,Visita,2025-03-07,Novo,30.0,,,,,0,,,,,
159,lead_233,Aurora Viana,aurora.viana@email.com,(084) 5432-3770,2025-04-03,Camisetas Filmes,Video 1,Instagram,Carrinho,2025-04-10,Em negociação,57.0,,,,,0,,,,,
160,lead_234,Benicio Pinto,benicio.pinto@email.com,+55 71 0194-3923,2025-03-29,Camisetas Series,Imagem 2,Facebook,Carrinho,2025-04-07,Em negociação,69.0,,,,,0,,,,,
161,lead_235,Marina Pacheco,marina.pacheco@email.com,0900-724-8396,2025-03-10,Camisetas Filmes,Video 3,Facebook,Visita,2025-03-10,Novo,31.0,,,,,0,,,,,
162,lead_236,Srta. Maria Luísa Moraes,srta..maria.luisa.moraes@email.com,21 2915-5452,2025-04-03,Camisetas Filmes,Carrossel 2,Email,Visita,2025-04-05,Perdido,30.0,,,,,0,,,,,
163,lead_237,Thales Araújo,thales.araujo@email.com,+55 21 5343 1115,2025-03-30,Camisetas Filmes,Carrossel 2,Instagram,Carrinho,2025-04-04,Perdido,53.0,,,,,0,,,,,
164,lead_238,Emanuel Farias,emanuel.farias@email.com,81 3018 6264,2025-04-01,Camisetas Series,Video 2,Google,Carrinho,2025-04-05,Em negociação,61.0,,,,,0,,,,,
165,lead_239,Bella Moreira,bella.moreira@email.com,+55 31 9215 7654,2025-04-06,Camisetas Series,Video 2,Facebook,Comprou,2025-04-06,Ganhou,97.0,7e866b42-d4cc-4180-ae21-1f5e4e2c00e6,2025-04-10,Camiseta,324.04,2,Cartão,Aprovado,source_6,campaign_2,4.0
166,lead_24,Maria Júlia Macedo,maria.julia.macedo@email.com,11 0130 2381,2025-03-25,Camisetas Series,Video 2,Email,Checkout,2025-04-04,Em negociação,89.0,,,,,0,,,,,
167,lead_240,Isabela Barbosa,isabela.barbosa@email.com,31 6223 6736,2025-04-19,Camisetas Series,Imagem 2,Email,Visita,2025-04-22,Perdido,15.0,,,,,0,,,,,
168,lead_241,Bernardo Barbosa,bernardo.barbosa@email.com,61 1729 1609,2025-04-26,Camisetas Filmes,Video 3,Tráfego Direto,Visita,2025-05-04,Novo,41.0,,,,,0,,,,,
169,lead_242,Sr. Valentim Sales,sr..valentim.sales@email.com,11 2815 2568,2025-03-01,Camisetas Series,Imagem 2,Google,Carrinho,2025-03-11,Perdido,70.0,,,,,0,,,,,
170,lead_243,Miguel Pastor,miguel.pastor@email.com,+55 51 5566 1234,2025-04-13,Camisetas Filmes,Carrossel 2,Instagram,Checkout,2025-04-13,Em negociação,74.0,,,,,0,,,,,
171,lead_244,Aylla Castro,aylla.castro@email.com,(081) 2643 3922,2025-03-19,Camisetas Filmes,Video 1,Instagram,Visita,2025-03-22,Perdido,28.0,,,,,0,,,,,
172,lead_245,Henrique Jesus,henrique.jesus@email.com,71 3903 6249,2025-03-03,Camisetas Filmes,Video 3,Google,Carrinho,2025-03-07,Em negociação,55.0,,,,,0,,,,,
173,lead_246,Luiz Fernando Martins,luiz.fernando.martins@email.com,+55 (084) 2592 0964,2025-03-12,Camisetas Series,Imagem 3,Tráfego Direto,Visita,2025-03-20,Perdido,40.0,,,,,0,,,,,
174,lead_247,Maria Julia Sales,maria.julia.sales@email.com,(081) 0384-1896,2025-04-02,Camisetas Series,Imagem 3,Facebook,Visita,2025-04-10,Novo,37.0,,,,,0,,,,,
175,lead_248,Dra. Giovanna Moreira,dra..giovanna.moreira@email.com,(041) 8931 5644,2025-04-18,Camisetas Series,Imagem 3,Facebook,Checkout,2025-04-25,Em negociação,71.0,,,,,0,,,,,
176,lead_249,Otto Vargas,otto.vargas@email.com,(084) 7760 5523,2025-03-26,Camisetas Series,Video 2,Instagram,Checkout,2025-03-30,Em negociação,69.0,,,,,0,,,,,
177,lead_25,Ravy Sales,ravy.sales@email.com,+55 (021) 8082 2231,2025-04-22,Camisetas Series,Imagem 2,Instagram,Checkout,2025-04-27,Perdido,81.0,,,,,0,,,,,
178,lead_250,Lívia da Cunha,livia.da.cunha@email.com,+55 (051) 6675-5537,2025-04-21,Camisetas Series,Imagem 2,Facebook,Comprou,2025-04-24,Ganhou,83.0,f63b0ea5-400a-4a9a-a9fb-fadb8b7d8c1c,2025-04-24,Camiseta,292.72,5,Cartão,Aprovado,source_1,campaign_5,3.0
179,lead_251,Maysa Araújo,maysa.araujo@email.com,(051) 3191 8106,2025-03-17,Camisetas Series,Imagem 3,Instagram,Comprou,2025-03-25,Ganhou,83.0,9ee0f83c-be53-4fe7-9f1f-b241283d7277,2025-04-26,Camiseta,195.87,1,Pix,Aprovado,source_2,campaign_3,40.0
180,lead_252,Lucca Sampaio,lucca.sampaio@email.com,(031) 2987 9677,2025-03-16,Blusas Inverno,Carrossel 1,Facebook,Visita,2025-03-19,Perdido,22.0,,,,,0,,,,,
181,lead_253,Maria Fernanda Mendonça,maria.fernanda.mendonca@email.com,+55 71 8101 2882,2025-03-27,Camisetas Filmes,Carrossel 2,Google,Carrinho,2025-04-05,Perdido,57.0,,,,,0,,,,,
182,lead_254,Arthur Gabriel Ramos,arthur.gabriel.ramos@email.com,+55 11 4929 9530,2025-04-06,Camisetas Series,Video 2,Google,Visita,2025-04-09,Novo,16.0,,,,,0,,,,,
183,lead_255,Bárbara Nunes,barbara.nunes@email.com,21 1736 6026,2025-03-13,Camisetas Series,Video 2,Instagram,Checkout,2025-03-18,Em negociação,67.0,,,,,0,,,,,
184,lead_256,Sr. Marcelo Correia,sr..marcelo.correia@email.com,+55 21 2910-2908,2025-03-20,Blusas Inverno,Carrossel 1,Google,Checkout,2025-03-20,Perdido,69.0,,,,,0,,,,,
185,lead_257,Gael Henrique Ramos,gael.henrique.ramos@email.com,71 1901 8893,2025-03-18,Blusas Inverno,Carrossel 1,Facebook,Checkout,2025-03-18,Em negociação,68.0,,,,,0,,,,,
186,lead_258,Sra. Maria Vitória Moreira,sra..maria.vitoria.moreira@email.com,0500 560 5063,2025-03-23,Camisetas Filmes,Imagem 1,Tráfego Direto,Visita,2025-03-27,Novo,45.0,,,,,0,,,,,
187,lead_259,Thomas Costela,thomas.costela@email.com,(084) 9527 0674,2025-03-08,Blusas Inverno,Carrossel 1,Google,Visita,2025-03-15,Novo,50.0,,,,,0,,,,,
188,lead_26,Sara Melo,sara.melo@email.com,+55 21 3057 9662,2025-04-16,Camisetas Filmes,Imagem 1,Google,Checkout,2025-04-16,Em negociação,67.0,,,,,0,,,,,
189,lead_260,Sr. Lorenzo Leão,sr..lorenzo.leao@email.com,0500 533 6191,2025-03-03,Camisetas Filmes,Video 1,Google,Checkout,2025-03-03,Perdido,87.0,,,,,0,,,,,
190,lead_261,Anthony Gabriel Sampaio,anthony.gabriel.sampaio@email.com,+55 (031) 3719-1798,2025-04-11,Camisetas Series,Video 2,Google,Carrinho,2025-04-18,Em negociação,70.0,,,,,0,,,,,
191,lead_262,Leandro Pastor,leandro.pastor@email.com,+55 (031) 9374-2008,2025-04-24,Camisetas Filmes,Carrossel 2,Facebook,Visita,2025-04-26,Perdido,31.0,,,,,0,,,,,
192,lead_263,Lavínia Macedo,lavinia.macedo@email.com,+55 41 5552 3553,2025-04-07,Camisetas Filmes,Imagem 1,Google,Carrinho,2025-04-14,Em negociação,56.0,,,,,0,,,,,
193,lead_264,Arthur Gabriel Pimenta,arthur.gabriel.pimenta@email.com,+55 41 6243 3058,2025-02-28,Camisetas Filmes,Video 1,Tráfego Direto,Visita,2025-03-06,Novo,14.0,,,,,0,,,,,
194,lead_265,Sr. Davi Lucca Melo,sr..davi.lucca.melo@email.com,+55 (061) 9861-9149,2025-04-05,Camisetas Filmes,Carrossel 2,Facebook,Carrinho,2025-04-14,Em negociação,44.0,,,,,0,,,,,
195,lead_266,Sr. Nicolas Casa Grande,sr..nicolas.casa.grande@email.com,+55 31 3362-0095,2025-03-13,Camisetas Filmes,Imagem 1,Tráfego Direto,Comprou,2025-03-15,Ganhou,84.0,334e859c-3188-4dee-981e-abcf5f9195fc,2025-03-30,Camiseta,445.42,3,Cartão,Aprovado,source_4,campaign_1,17.0
196,lead_267,Gabrielly Albuquerque,gabrielly.albuquerque@email.com,+55 41 1765-7554,2025-04-07,Camisetas Series,Video 2,Google,Comprou,2025-04-10,Ganhou,82.0,89cda078-c8cf-47c6-b859-a0c7ccddeb6c,2025-04-21,Camiseta,158.39,5,Pix,Aprovado,source_2,campaign_1,14.0
197,lead_268,Maitê Vargas,maite.vargas@email.com,+55 (021) 0268 4178,2025-04-02,Camisetas Filmes,Video 1,Instagram,Carrinho,2025-04-08,Perdido,75.0,,,,,0,,,,,
198,lead_269,Maria Liz Gomes,maria.liz.gomes@email.com,11 0958-8724,2025-03-06,Camisetas Series,Imagem 2,Facebook,Checkout,2025-03-14,Perdido,84.0,,,,,0,,,,,
199,lead_27,Maria Luiza Barbosa,maria.luiza.barbosa@email.com,11 6830-1250,2025-03-30,Camisetas Series,Imagem 3,Facebook,Visita,2025-04-03,Perdido,35.0,,,,,0,,,,,
200,lead_270,Henry Gabriel da Mata,henry.gabriel.da.mata@email.com,+55 (071) 5956-5252,2025-03-07,Camisetas Filmes,Video 3,Tráfego Direto,Carrinho,2025-03-14,Em negociação,68.0,,,,,0,,,,,
201,lead_271,João Miguel Pimenta,joao.miguel.pimenta@email.com,81 3190 5061,2025-03-07,Camisetas Series,Video 2,Email,Checkout,2025-03-16,Em negociação,87.0,,,,,0,,,,,
202,lead_272,Valentim Caldeira,valentim.caldeira@email.com,+55 81 6148-2429,2025-03-28,Camisetas Filmes,Video 3,Tráfego Direto,Checkout,2025-04-06,Em negociação,69.0,,,,,0,,,,,
203,lead_273,Srta. Maria Ribeiro,srta..maria.ribeiro@email.com,(031) 9689 3108,2025-04-10,Camisetas Filmes,Imagem 1,Google,Visita,2025-04-11,Novo,49.0,,,,,0,,,,,
204,lead_274,Noah Machado,noah.machado@email.com,+55 (051) 3419 8341,2025-03-29,Camisetas Series,Imagem 2,Facebook,Checkout,2025-04-01,Em negociação,80.0,,,,,0,,,,,
205,lead_275,Yago Vasconcelos,yago.vasconcelos@email.com,(041) 3597-6203,2025-04-25,Camisetas Series,Video 2,Facebook,Visita,2025-04-26,Novo,52.0,,,,,0,,,,,
206,lead_276,Allana Moura,allana.moura@email.com,(061) 9428-1135,2025-04-26,Blusas Inverno,Carrossel 1,Tráfego Direto,Visita,2025-04-28,Novo,25.0,,,,,0,,,,,
207,lead_277,Henrique Cassiano,henrique.cassiano@email.com,+55 (061) 3057 2220,2025-04-28,Camisetas Filmes,Video 1,Google,Carrinho,2025-04-28,Em negociação,50.0,,,,,0,,,,,
208,lead_278,Vinicius Vieira,vinicius.vieira@email.com,31 9017 3106,2025-03-19,Camisetas Filmes,Video 3,Facebook,Visita,2025-03-28,Novo,38.0,,,,,0,,,,,
209,lead_279,Dra. Luara Garcia,dra..luara.garcia@email.com,+55 11 3479 4943,2025-04-06,Camisetas Filmes,Carrossel 2,Facebook,Carrinho,2025-04-06,Perdido,58.0,,,,,0,,,,,
210,lead_28,Thiago Leão,thiago.leao@email.com,51 3272 2151,2025-04-19,Camisetas Filmes,Video 1,Google,Visita,2025-04-28,Novo,23.0,,,,,0,,,,,
211,lead_280,Maria Eduarda Cavalcanti,maria.eduarda.cavalcanti@email.com,+55 31 3868-8273,2025-03-25,Camisetas Series,Imagem 2,Facebook,Carrinho,2025-03-29,Perdido,58.0,,,,,0,,,,,
212,lead_281,Hadassa Porto,hadassa.porto@email.com,(084) 7980-8171,2025-04-06,Camisetas Filmes,Carrossel 2,Instagram,Carrinho,2025-04-16,Em negociação,44.0,,,,,0,,,,,
213,lead_282,Maria Sophia Vasconcelos,maria.sophia.vasconcelos@email.com,84 2154 9712,2025-04-03,Camisetas Series,Imagem 2,Email,Visita,2025-04-13,Novo,26.0,,,,,0,,,,,
214,lead_283,Luana Rocha,luana.rocha@email.com,+55 (021) 2824-0066,2025-04-20,Camisetas Series,Imagem 2,Instagram,Comprou,2025-04-21,Ganhou,93.0,50426abe-c0b4-4889-a269-a273153c82f2,2025-04-25,Camiseta,379.36,1,Pix,Aprovado,source_9,campaign_2,5.0
215,lead_284,Sr. Davi Miguel Monteiro,sr..davi.miguel.monteiro@email.com,+55 (021) 9131-5543,2025-04-15,Camisetas Series,Imagem 2,Google,Visita,2025-04-17,Perdido,51.0,,,,,0,,,,,
216,lead_285,Luiz Henrique Aragão,luiz.henrique.aragao@email.com,+55 41 8596-0098,2025-03-02,Camisetas Series,Video 2,Instagram,Checkout,2025-03-04,Em negociação,86.0,,,,,0,,,,,
217,lead_286,Maria Cecília Lima,maria.cecilia.lima@email.com,71 2770 1323,2025-04-25,Camisetas Filmes,Video 1,Instagram,Visita,2025-04-27,Novo,13.0,,,,,0,,,,,
218,lead_287,Yuri Jesus,yuri.jesus@email.com,0800 950 6862,2025-02-28,Camisetas Series,Video 2,Google,Visita,2025-03-09,Perdido,48.0,,,,,0,,,,,
219,lead_288,Rafael Moraes,rafael.moraes@email.com,(011) 2596-8160,2025-04-15,Camisetas Series,Video 2,Facebook,Carrinho,2025-04-16,Em negociação,68.0,,,,,0,,,,,
220,lead_289,João Miguel da Cunha,joao.miguel.da.cunha@email.com,61 5533-1304,2025-03-15,Camisetas Filmes,Carrossel 2,Facebook,Carrinho,2025-03-21,Em negociação,59.0,,,,,0,,,,,
221,lead_29,Maria Vitória Barbosa,maria.vitoria.barbosa@email.com,+55 71 8507 6845,2025-04-28,Camisetas Series,Imagem 3,Facebook,Visita,2025-05-08,Perdido,23.0,,,,,0,,,,,
222,lead_290,Luiz Miguel Rocha,luiz.miguel.rocha@email.com,41 3024 3019,2025-04-16,Camisetas Series,Video 2,Instagram,Checkout,2025-04-24,Perdido,76.0,,,,,0,,,,,
223,lead_291,Alana Teixeira,alana.teixeira@email.com,+55 51 7961 8338,2025-04-25,Camisetas Filmes,Carrossel 2,Facebook,Visita,2025-04-26,Novo,38.0,,,,,0,,,,,
224,lead_292,Dra. Stella Gomes,dra..stella.gomes@email.com,+55 (084) 1393-7096,2025-04-02,Camisetas Filmes,Imagem 1,Facebook,Visita,2025-04-07,Novo,37.0,,,,,0,,,,,
225,lead_293,João Gabriel Fogaça,joao.gabriel.fogaca@email.com,0900-814-2945,2025-04-16,Camisetas Series,Video 2,Google,Carrinho,2025-04-17,Em negociação,41.0,,,,,0,,,,,
226,lead_294,Heloisa Moura,heloisa.moura@email.com,(051) 0619-1824,2025-03-18,Camisetas Series,Imagem 2,Instagram,Visita,2025-03-27,Novo,53.0,,,,,0,,,,,
227,lead_295,Ana Cecília Pereira,ana.cecilia.pereira@email.com,+55 (021) 1640-6985,2025-04-05,Camisetas Filmes,Imagem 1,Instagram,Visita,2025-04-15,Perdido,58.0,,,,,0,,,,,
228,lead_296,Gael Henrique Araújo,gael.henrique.araujo@email.com,+55 (061) 8222 0451,2025-04-23,Camisetas Series,Video 2,Instagram,Carrinho,2025-04-23,Em negociação,76.0,,,,,0,,,,,
229,lead_297,Anthony Martins,anthony.martins@email.com,+55 61 1766 6081,2025-04-08,Blusas Inverno,Carrossel 1,Instagram,Visita,2025-04-16,Perdido,40.0,,,,,0,,,,,
230,lead_298,Cauã Novais,caua.novais@email.com,(021) 3163 6796,2025-03-12,Camisetas Filmes,Carrossel 2,Tráfego Direto,Checkout,2025-03-16,Em negociação,89.0,,,,,0,,,,,
231,lead_299,Emanuelly Moura,emanuelly.moura@email.com,81 6067 9512,2025-03-17,Blusas Inverno,Carrossel 1,Google,Visita,2025-03-23,Novo,47.0,,,,,0,,,,,
232,lead_3,Maria Flor Macedo,maria.flor.macedo@email.com,+55 61 3923-5957,2025-04-24,Camisetas Filmes,Imagem 1,Instagram,Checkout,2025-04-27,Perdido,77.0,,,,,0,,,,,
233,lead_30,Yuri Rezende,yuri.rezende@email.com,+55 (084) 3117-1547,2025-03-19,Camisetas Filmes,Carrossel 2,Google,Checkout,2025-03-29,Em negociação,72.0,,,,,0,,,,,
234,lead_300,Ana Julia Costa,ana.julia.costa@email.com,(071) 9554-9008,2025-04-04,Camisetas Filmes,Carrossel 2,Tráfego Direto,Visita,2025-04-11,Novo,15.0,,,,,0,,,,,
235,lead_31,Carlos Eduardo Novais,carlos.eduardo.novais@email.com,+55 (031) 3628 6930,2025-04-26,Camisetas Filmes,Carrossel 2,Instagram,Checkout,2025-04-30,Perdido,64.0,,,,,0,,,,,
236,lead_32,Maria Flor da Luz,maria.flor.da.luz@email.com,+55 (071) 6049 7294,2025-04-21,Blusas Inverno,Carrossel 1,Google,Checkout,2025-04-29,Em negociação,67.0,,,,,0,,,,,
237,lead_33,Dr. João Felipe Lopes,dr..joao.felipe.lopes@email.com,(041) 8411-2123,2025-03-23,Camisetas Series,Video 2,Facebook,Carrinho,2025-03-29,Em negociação,77.0,,,,,0,,,,,
238,lead_34,Heitor Moreira,heitor.moreira@email.com,31 8347-6284,2025-03-07,Camisetas Filmes,Video 3,Instagram,Visita,2025-03-10,Novo,33.0,,,,,0,,,,,
239,lead_35,Mathias Ribeiro,mathias.ribeiro@email.com,+55 (071) 3863 0643,2025-03-13,Blusas Inverno,Carrossel 1,Facebook,Carrinho,2025-03-20,Perdido,72.0,,,,,0,,,,,
240,lead_36,Paulo Silva,paulo.silva@email.com,+55 (061) 8990-1069,2025-03-12,Camisetas Filmes,Video 1,Instagram,Carrinho,2025-03-13,Perdido,43.0,,,,,0,,,,,
241,lead_37,Gustavo Jesus,gustavo.jesus@email.com,(011) 5351 8149,2025-03-31,Blusas Inverno,Carrossel 1,Instagram,Visita,2025-04-02,Novo,50.0,,,,,0,,,,,
242,lead_38,Renan Sales,renan.sales@email.com,(051) 2236 7344,2025-04-14,Camisetas Filmes,Video 3,Instagram,Comprou,2025-04-15,Ganhou,99.0,6221e9c0-cb68-4456-b81a-9aa0149e66bf,2025-04-18,Camiseta,252.14,3,Cartão,Aprovado,source_1,campaign_2,4.0
243,lead_39,Dr. Luiz Fernando Souza,dr..luiz.fernando.souza@email.com,+55 41 8741-6742,2025-03-25,Camisetas Filmes,Video 3,Google,Checkout,2025-04-03,Perdido,72.0,,,,,0,,,,,
244,lead_4,Cauê Camargo,caue.camargo@email.com,11 9134-0386,2025-03-31,Camisetas Filmes,Video 3,Google,Visita,2025-04-07,Perdido,24.0,,,,,0,,,,,
245,lead_40,Sophie Moreira,sophie.moreira@email.com,+55 51 2341 3128,2025-04-15,Camisetas Filmes,Carrossel 2,Instagram,Checkout,2025-04-19,Em negociação,76.0,,,,,0,,,,,
246,lead_41,Camila Sá,camila.sa@email.com,+55 (051) 9136-5727,2025-04-11,Camisetas Filmes,Imagem 1,Tráfego Direto,Checkout,2025-04-12,Em negociação,81.0,,,,,0,,,,,
247,lead_42,Igor Siqueira,igor.siqueira@email.com,(081) 7965 4398,2025-04-11,Camisetas Series,Video 2,Instagram,Visita,2025-04-21,Novo,59.0,,,,,0,,,,,
248,lead_43,Brayan Ribeiro,brayan.ribeiro@email.com,+55 41 1502 2105,2025-04-14,Camisetas Series,Imagem 3,Tráfego Direto,Checkout,2025-04-18,Em negociação,63.0,,,,,0,,,,,
249,lead_44,Valentim Cunha,valentim.cunha@email.com,+55 (031) 2925 5670,2025-04-09,Camisetas Filmes,Video 3,Facebook,Carrinho,2025-04-16,Em negociação,50.0,,,,,0,,,,,
250,lead_45,Hadassa Fernandes,hadassa.fernandes@email.com,+55 21 2947 5609,2025-03-17,Camisetas Filmes,Imagem 1,Instagram,Visita,2025-03-21,Perdido,56.0,,,,,0,,,,,
251,lead_46,Vitória Aragão,vitoria.aragao@email.com,(011) 2760 6993,2025-03-05,Blusas Inverno,Carrossel 1,Facebook,Carrinho,2025-03-06,Perdido,72.0,,,,,0,,,,,
